"Name","Code","Year","Share","Sector"
"Textiles, garments, footwear and furniture","0 HS1","1995","6.52%","Textiles"
"Textiles, garments, footwear and furniture","0 HS1","1996","6.38%","Textiles"
"Textiles, garments, footwear and furniture","0 HS1","1997","6.16%","Textiles"
"Textiles, garments, footwear and furniture","0 HS1","1998","6.05%","Textiles"
"Textiles, garments, footwear and furniture","0 HS1","1999","5.78%","Textiles"
"Textiles, garments, footwear and furniture","0 HS1","2000","5.05%","Textiles"
"Textiles, garments, footwear and furniture","0 HS1","2001","4.98%","Textiles"
"Textiles, garments, footwear and furniture","0 HS1","2002","4.95%","Textiles"
"Textiles, garments, footwear and furniture","0 HS1","2003","4.65%","Textiles"
"Textiles, garments, footwear and furniture","0 HS1","2004","4.33%","Textiles"
"Textiles, garments, footwear and furniture","0 HS1","2005","4.30%","Textiles"
"Textiles, garments, footwear and furniture","0 HS1","2006","4.11%","Textiles"
"Textiles, garments, footwear and furniture","0 HS1","2007","3.95%","Textiles"
"Textiles, garments, footwear and furniture","0 HS1","2008","3.97%","Textiles"
"Textiles, garments, footwear and furniture","0 HS1","2009","4.37%","Textiles"
"Textiles, garments, footwear and furniture","0 HS1","2010","4.11%","Textiles"
"Textiles, garments, footwear and furniture","0 HS1","2011","4.11%","Textiles"
"Textiles, garments, footwear and furniture","0 HS1","2012","3.88%","Textiles"
"Textiles, garments, footwear and furniture","0 HS1","2013","3.92%","Textiles"
"Textiles, garments, footwear and furniture","0 HS1","2014","4.01%","Textiles"
"Textiles, garments, footwear and furniture","0 HS1","2015","3.96%","Textiles"
"Textiles, garments, footwear and furniture","0 HS1","2016","4.06%","Textiles"
"Textiles, garments, footwear and furniture","0 HS1","2017","4.20%","Textiles"
"Textiles, garments, footwear and furniture","0 HS1","2018","4.28%","Textiles"
"Textiles, garments, footwear and furniture","0 HS1","2019","4.41%","Textiles"
"Vegetables, animals, wood and paper","1 HS1","1995","10.16%","Agriculture"
"Vegetables, animals, wood and paper","1 HS1","1996","9.96%","Agriculture"
"Vegetables, animals, wood and paper","1 HS1","1997","9.28%","Agriculture"
"Vegetables, animals, wood and paper","1 HS1","1998","9.26%","Agriculture"
"Vegetables, animals, wood and paper","1 HS1","1999","9.08%","Agriculture"
"Vegetables, animals, wood and paper","1 HS1","2000","8.12%","Agriculture"
"Vegetables, animals, wood and paper","1 HS1","2001","8.51%","Agriculture"
"Vegetables, animals, wood and paper","1 HS1","2002","8.72%","Agriculture"
"Vegetables, animals, wood and paper","1 HS1","2003","8.21%","Agriculture"
"Vegetables, animals, wood and paper","1 HS1","2004","7.82%","Agriculture"
"Vegetables, animals, wood and paper","1 HS1","2005","8.32%","Agriculture"
"Vegetables, animals, wood and paper","1 HS1","2006","7.99%","Agriculture"
"Vegetables, animals, wood and paper","1 HS1","2007","7.89%","Agriculture"
"Vegetables, animals, wood and paper","1 HS1","2008","8.58%","Agriculture"
"Vegetables, animals, wood and paper","1 HS1","2009","9.62%","Agriculture"
"Vegetables, animals, wood and paper","1 HS1","2010","8.91%","Agriculture"
"Vegetables, animals, wood and paper","1 HS1","2011","8.75%","Agriculture"
"Vegetables, animals, wood and paper","1 HS1","2012","8.69%","Agriculture"
"Vegetables, animals, wood and paper","1 HS1","2013","8.94%","Agriculture"
"Vegetables, animals, wood and paper","1 HS1","2014","8.81%","Agriculture"
"Vegetables, animals, wood and paper","1 HS1","2015","8.48%","Agriculture"
"Vegetables, animals, wood and paper","1 HS1","2016","8.61%","Agriculture"
"Vegetables, animals, wood and paper","1 HS1","2017","8.44%","Agriculture"
"Vegetables, animals, wood and paper","1 HS1","2018","8.16%","Agriculture"
"Vegetables, animals, wood and paper","1 HS1","2019","8.26%","Agriculture"
"Stone, glass and ceramics","2 HS1","1995","2.04%","Stone"
"Stone, glass and ceramics","2 HS1","1996","1.95%","Stone"
"Stone, glass and ceramics","2 HS1","1997","1.85%","Stone"
"Stone, glass and ceramics","2 HS1","1998","1.85%","Stone"
"Stone, glass and ceramics","2 HS1","1999","1.89%","Stone"
"Stone, glass and ceramics","2 HS1","2000","1.81%","Stone"
"Stone, glass and ceramics","2 HS1","2001","1.86%","Stone"
"Stone, glass and ceramics","2 HS1","2002","1.83%","Stone"
"Stone, glass and ceramics","2 HS1","2003","1.65%","Stone"
"Stone, glass and ceramics","2 HS1","2004","1.64%","Stone"
"Stone, glass and ceramics","2 HS1","2005","1.68%","Stone"
"Stone, glass and ceramics","2 HS1","2006","1.84%","Stone"
"Stone, glass and ceramics","2 HS1","2007","1.83%","Stone"
"Stone, glass and ceramics","2 HS1","2008","1.99%","Stone"
"Stone, glass and ceramics","2 HS1","2009","2.10%","Stone"
"Stone, glass and ceramics","2 HS1","2010","2.36%","Stone"
"Stone, glass and ceramics","2 HS1","2011","2.60%","Stone"
"Stone, glass and ceramics","2 HS1","2012","2.51%","Stone"
"Stone, glass and ceramics","2 HS1","2013","2.27%","Stone"
"Stone, glass and ceramics","2 HS1","2014","2.03%","Stone"
"Stone, glass and ceramics","2 HS1","2015","1.95%","Stone"
"Stone, glass and ceramics","2 HS1","2016","2.06%","Stone"
"Stone, glass and ceramics","2 HS1","2017","1.96%","Stone"
"Stone, glass and ceramics","2 HS1","2018","1.93%","Stone"
"Stone, glass and ceramics","2 HS1","2019","2.20%","Stone"
"Minerals, fuels, ores and salts","3 HS1","1995","1.76%","Minerals"
"Minerals, fuels, ores and salts","3 HS1","1996","1.80%","Minerals"
"Minerals, fuels, ores and salts","3 HS1","1997","1.78%","Minerals"
"Minerals, fuels, ores and salts","3 HS1","1998","1.77%","Minerals"
"Minerals, fuels, ores and salts","3 HS1","1999","1.55%","Minerals"
"Minerals, fuels, ores and salts","3 HS1","2000","1.66%","Minerals"
"Minerals, fuels, ores and salts","3 HS1","2001","1.91%","Minerals"
