Country,Year,complexity_HH,population,GDP_pc_PPP,ind_output_meur,Unemployment_rate,Current_account_balance_to_GDP,exp_to_gdp,Public_debt_to_GDP,Adjusted_wage_share,employm_indus,fdi_in_gdp,Private_sector_debt_to_GDP,Tax_Wealth,finance_share_GO,Capital_accumulation,GDP_growth,Gini_net,size_of_finance,FDI_assets_stock,FDI_liabilities_stock
BEL,2000,1.57035,10268.38,24500,182474.3,6.9,3.9592676,71.85754893,108.7688,67.7741087,25.80999947,,185.93,0.136,0.029847788,8.404640425,3.633839708,27.48174858,2.9847788,179772.6,195218.9
BEL,2001,1.23801,10311.331,25100,184732,6.6,4.1293061,71.02051259,107.591,68.8009825,25.48999977,,191.97,0.133,0.02850084,8.369918047,0.811653912,26.82717323,2.850084,181458.7887,203537.1163
BEL,2002,1.18184,10364.613,26200,178300.1,7.5,6.0047625,70.3146529,104.7098,68.9971119,25.78000069,6.984683949,190.32,0.141,0.029254238,7.898499481,1.780243243,26.39382935,2.9254238,223940.4467,255745.4203
BEL,2003,1.16731,10426.169,26300,175164.6,8.2,5.6347541,68.59611445,101.1124,68.3248664,24.92000008,10.82870702,195.47,0.143,0.028822319,7.780163252,0.774483808,25.76835442,2.8822319,313937.595,357137.247
BEL,2004,1.09913,10492.643,27300,189916.5,8.4,4.5303655,70.3700232,96.5231,66.6536511,24.94000053,11.97545135,198.68,0.333,0.029138105,8.338546542,3.634774978,25.5278759,2.9138105,369229.8954,471071.3882
BEL,2005,1.17112,10561.436,28300,197270.3,8.5,3.3910897,73.52133838,94.627,65.7374997,24.69000053,8.695608345,197.79,0.175,0.028930511,8.686322506,2.094488373,25.4645195,2.8930511,378157.5538,478183.1371
BEL,2006,1.16198,10632.032,29300,217317.8,8.3,3.6800424,75.71128567,91.0381,65.4520688,24.69000053,14.35476326,202.03,0.225,0.02901779,8.705354745,2.499146741,25.00161362,2.901779,481355.598,618531.684
BEL,2007,1.1726,10704.83,30400,231597.4,7.5,3.9858665,77.49084021,87.0211,65.0748939,24.42000008,20.4712718,213.49,0.187,0.028869454,9.102491181,3.397475064,25.22669029,2.8869454,621095.1831,784576.3044
BEL,2008,1.0917,10779.155,30100,240037.7,7,1.3571763,79.69587591,92.5285,66.5852116,24.67000008,36.73990489,234.87,0.196,0.028575791,9.089697943,0.747283907,24.61861038,2.8575791,814051.2561,854425.8648
BEL,2009,1.20746,10854.388,28900,197923.5,7.9,0.8657868,69.30968143,99.5636,67.9923482,23.46999931,17.85729074,243.22,0.19,0.032669409,8.386302491,-2.285113068,24.85193253,3.2669409,940867.3848,967599.1584
BEL,2010,1.19813,10929.978,30600,225407.1,8.3,3.702181,76.44843482,99.7102,66.2474517,23.37999916,23.05667244,230.87,0.236,0.032531266,8.236398544,2.69515683,24.49184608,3.2531266,929252.2728,952886.9784
