iso2c,country,year,growth,growth_pc,gdp_ppp,gdp_ppp_pc,unemployment,population
AT,Austria,1962,2.64867511295262,2.02146966677637,,,,7129864
AT,Austria,1963,4.13826758157036,3.47146615932408,,,,7175811
AT,Austria,1964,6.12435373762843,5.41933601415172,,,,7223801
AT,Austria,1965,3.48017491799556,2.81001278561553,,,,7270889
AT,Austria,1966,5.64286141093278,4.90447900377782,,,,7322066
AT,Austria,1967,3.0080477977549,2.24100975848387,,,,7376998
AT,Austria,1968,4.47231278246065,3.9312418288779,,,,7415403
AT,Austria,1969,6.27586716607024,5.909495926435,,,,7441055
AT,Austria,1970,6.32114263234969,5.95049661811298,,,,7467086
AT,Austria,1971,5.11496858499562,4.64694273134189,,,,7500482
AT,Austria,1972,6.2078610864111,5.59238153081114,,,,7544201
AT,Austria,1973,4.89043531715288,4.31090578116728,,,,7586115
AT,Austria,1974,3.94213807104376,3.76537303179903,,,,7599038
AT,Austria,1975,-0.363735434053538,-0.0990300819682375,,,,7578903
AT,Austria,1976,4.57844543332115,4.76336986923367,,,,7565525
AT,Austria,1977,5.07998059425915,5.03964761322793,,,,7568430
AT,Austria,1978,-0.210653695162677,-0.129830487672749,,,,7562305
AT,Austria,1979,5.35669990025116,5.53644793334178,,,,7549425
AT,Austria,1980,1.73148559549917,1.73137779245161,,,,7549433
AT,Austria,1981,-0.14429469056661,-0.398620517722108,,,,7568710
AT,Austria,1982,2.01125470754351,1.93812150521796,,,,7574140
AT,Austria,1983,2.97308803031213,3.13962807993062,,,,7561910
AT,Austria,1984,0.0512747629668411,0.0575730929909071,,,,7561434
AT,Austria,1985,2.49867849748429,2.45056567143844,,,,7564985
AT,Austria,1986,2.3013932119724,2.23640235489538,,,,7569794
AT,Austria,1987,1.35716806415441,1.29304527917799,,,,7574586
AT,Austria,1988,3.29587989843014,3.14974650846239,,,,7585317
AT,Austria,1989,3.88707481782052,3.42010178477146,,,,7619567
AT,Austria,1990,4.34564139947821,3.55354764697123,287465131300.805,37440.8371224764,,7677850
AT,Austria,1991,3.44162777669459,2.41398645387723,297358611107.966,38344.6538588312,3.42,7754891
AT,Austria,1992,2.09352461709183,0.97609224004664,303583886832.553,38718.93304962,3.59,7840709
AT,Austria,1993,0.526809203706492,-0.298754361000036,305183194689.357,38603.2585486016,4.25,7905633
AT,Austria,1994,2.40211907379886,2.0087619437808,312514058419.019,39378.7061153852,3.54,7936118
